SKU,MissingValue,DefaultApplied
HBG104955BL,Weight - lb,0.88
HBG104955G,Weight - lb,0.88
HBG104955OR,Weight - lb,0.88
HBG104955PN,Weight - lb,0.88
HBG104955PU,Weight - lb,0.88
HBG104955R,Weight - lb,0.88
HBG104955S,Weight - lb,0.88
HBG104955W,Weight - lb,0.88
HBG104955YL,Weight - lb,0.88
HBG104364G,Weight - lb,0.88
HBG104364B,Weight - lb,0.88
HBG104364S,Weight - lb,0.88
HBG104363B,Weight - lb,0.88
HBG104362B,Weight - lb,0.88
HBG104362CH,Weight - lb,0.88
HBG104362G,Weight - lb,0.88
HBG104053B,Weight - lb,0.88
HBG104053FU,Weight - lb,0.88
HBG104053G,Weight - lb,0.88
HBG104053PN,Weight - lb,0.88
HBG104053S,Weight - lb,0.88
HBG104299S,Weight - lb,0.88
HW00729G,Weight - lb,0.88
HW00729S,Weight - lb,0.88
HW00727G,Weight - lb,0.88
HW00727S,Weight - lb,0.88
HBG103995BEI,Weight - lb,0.88
HBG103995BL,Weight - lb,0.88
HBG103995W,Weight - lb,0.88
HBG104047B,Weight - lb,0.88
HBG104047GR,Weight - lb,0.88
HBG104047PN,Weight - lb,0.88
HBG104047W,Weight - lb,0.88
HBG104003BEI,Weight - lb,0.88
HBG103687BEI,Weight - lb,0.88
HBG103687MIN,Weight - lb,0.88
HBG103687PN,Weight - lb,0.88
HBG103448BEI,Weight - lb,0.88
HBG103448BR,Weight - lb,0.88
HBG103944B,Weight - lb,0.88
HBG103944LBL,Weight - lb,0.88
HBG103944LM,Weight - lb,0.88
HBG103944OL,Weight - lb,0.88
HBG103944OR,Weight - lb,0.88
HBG103944YL,Weight - lb,0.88
HL00482,Weight - lb,0.88
HBG103115B,Weight - lb,0.88
HBG103115BL,Weight - lb,0.88
HBG103115R,Weight - lb,0.88
HBG103392BEI,Weight - lb,0.88
HBG103392GY,Weight - lb,0.88
HBG103393BEI,Weight - lb,0.88
HBG103393GY,Weight - lb,0.88
HBG103597B,Weight - lb,0.88
HBG103597BEI,Weight - lb,0.88
HBG103597BL,Weight - lb,0.88
HBG103597GY,Weight - lb,0.88
HBG103597PN,Weight - lb,0.88
HBG103597YL,Weight - lb,0.88
HBG103385B,Weight - lb,0.88
HBG103385BEI,Weight - lb,0.88
HBG103385BL,Weight - lb,0.88
HBG103385PN,Weight - lb,0.88
HBG103385R,Weight - lb,0.88
HBG103387B,Weight - lb,0.88
HBG103387BL,Weight - lb,0.88
HBG103387KH,Weight - lb,0.88
HBG103387PN,Weight - lb,0.88
HBG103675B,Weight - lb,0.88
HBG103675BL,Weight - lb,0.88
HBG103675CH,Weight - lb,0.88
HBG103675GR,Weight - lb,0.88
HBG103342B,Weight - lb,0.88
HBG103342BEI,Weight - lb,0.88
HBG103342BL,Weight - lb,0.88
HBG103342BR,Weight - lb,0.88
HBG103342GR,Weight - lb,0.88
HBG103342GY,Weight - lb,0.88
HBG103342R,Weight - lb,0.88
HBG104955BL,Length - in,3.15
HBG104955G,Length - in,3.15
HBG104955OR,Length - in,3.15
HBG104955PN,Length - in,3.15
HBG104955PU,Length - in,3.15
HBG104955R,Length - in,3.15
HBG104955S,Length - in,3.15
HBG104955W,Length - in,3.15
HBG104955YL,Length - in,3.15
HM00587,Length - in,3.15
HBG104364G,Length - in,3.15
HBG104364B,Length - in,3.15
HBG104364S,Length - in,3.15
HBG104363B,Length - in,3.15
HBG104361CH,Length - in,3.15
HBG104362B,Length - in,3.15
HBG104362CH,Length - in,3.15
HBG104362G,Length - in,3.15
HBG104053B,Length - in,3.15
HBG104053FU,Length - in,3.15
HBG104053G,Length - in,3.15
HBG104053PN,Length - in,3.15
HBG104053S,Length - in,3.15
HL00497B,Length - in,3.15
HL00497FU,Length - in,3.15
HL00497G,Length - in,3.15
HL00497PN,Length - in,3.15
HL00497S,Length - in,3.15
HBG104299S,Length - in,3.15
HM00590BL,Length - in,3.15
HW00729G,Length - in,3.15
HW00729S,Length - in,3.15
HW00727G,Length - in,3.15
HW00727S,Length - in,3.15
HL00467,Length - in,3.15
HL00466,Length - in,3.15
HBG103995BEI,Length - in,3.15
HBG103995BL,Length - in,3.15
HBG103995W,Length - in,3.15
HBG103996KH,Length - in,3.15
HBG103996W,Length - in,3.15
HBG104047B,Length - in,3.15
HBG104047GR,Length - in,3.15
HBG104047PN,Length - in,3.15
HBG104047W,Length - in,3.15
HBG104003BEI,Length - in,3.15
HBG103687BEI,Length - in,3.15
HBG103687MIN,Length - in,3.15
HBG103687PN,Length - in,3.15
HBG105047G,Length - in,3.15
HBG105047S,Length - in,3.15
HM00527BL,Length - in,3.15
HM00527CL,Length - in,3.15
HM00527GR,Length - in,3.15
HM00527PN,Length - in,3.15
HBG105256G,Length - in,3.15
HBG105256S,Length - in,3.15
HBG105253G,Length - in,3.15
HBG105253S,Length - in,3.15
