sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
HBG103480,,Default,configurable,"Default Category/Bags/Handbags,Default Category/Bags/Natural  Handbags,Default Category/HOT DEALS",base,HBG103480,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Wooden Beaded Handbag</p>,1,1,0,"Catalog, Search",,,,,hbg103480,HBG103480,HBG103480,HBG103480 Ladies Wooden Beaded Handbag,/h/b/hbg103480_w-.jpg,,/h/b/hbg103480_w-.jpg,,/h/b/hbg103480_w-.jpg,,,,"1/23/23, 8:21 PM","3/9/25, 7:54 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/b/hbg103480_w-.jpg,/h/b/hbg103480_w.jpg",",",,,,,,,,,,,,"sku=HBG103480B,color=Black|sku=HBG103480W,color=White",color=Color
HBG103185,,Default,configurable,"Default Category/Bags/Handbags,Default Category/Bags/Natural  Handbags,Default Category/HOT DEALS",base,HBG103185,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Fringe Back Pack Handbag</p>,1,1,0,"Catalog, Search",,,,,hbg103185,HBG103185,HBG103185,HBG103185 Ladies Fringe Back Pack Handbag,/h/b/hbg103185_bei.jpg,,/h/b/hbg103185_bei.jpg,,/h/b/hbg103185_bei.jpg,,,,"1/24/23, 4:50 PM","3/9/25, 7:54 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103185_bei.jpg,,,,,,,,,,,,,"sku=HBG103185BEI,color=Beige",color=Color
HBG103186BEI,,Default,simple,"Default Category/Bags/Handbags,Default Category/Bags/Natural  Handbags,Default Category/HOT DEALS",base,HBG103186BEI,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Fringe Handbag</p>,1,1,0,"Catalog, Search",5,,,,hbg103186bei,HBG103186BEI,HBG103186BEI,HBG103186BEI Ladies Fringe Handbag,/h/b/hbg103186_bei.jpg,,/h/b/hbg103186_bei.jpg,,/h/b/hbg103186_bei.jpg,,/h/b/hbg103186_bei.jpg,,"1/24/23, 5:10 PM","3/9/25, 7:54 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",75,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103186_bei.jpg,,,,,,,,,,,,,,
HBG103187,,Default,configurable,"Default Category/Bags/Handbags,Default Category/Bags/Natural  Handbags,Default Category/HOT DEALS",base,HBG103187,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Fringe Handbag in Natural</p>,1,1,0,"Catalog, Search",,,,,hbg103187,HBG103187,HBG103187,HBG103187 Ladies Fringe Handbag in Natural,/h/b/hbg103187_w.jpg,,/h/b/hbg103187_w.jpg,,/h/b/hbg103187_w.jpg,,,,"1/24/23, 5:43 PM","3/9/25, 7:54 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103187_w.jpg,,,,,,,,,,,,,"sku=HBG103187W,color=White",color=Color
HBG103503,,Default,simple,"Default Category/Bags/Handbags,Default Category/Bags/Natural  Handbags,Default Category/HOT DEALS",base,HBG103503,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Straw Handbag</p>,1,1,0,"Catalog, Search",5,,,,hbg103503,HBG103503,HBG103503,HBG103503 Ladies Straw Handbag,/h/b/hbg103503.jpg,,/h/b/hbg103503.jpg,,/h/b/hbg103503.jpg,,/h/b/hbg103503.jpg,,"1/24/23, 5:49 PM","3/9/25, 7:54 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",85,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103503.jpg,,,,,,,,,,,,,,
HBG103507,,Default,simple,"Default Category/Bags/Handbags,Default Category/Bags/Natural  Handbags,Default Category/HOT DEALS",base,HBG103507,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Straw Handbag</p>,1,1,0,"Catalog, Search",5,,,,hbg103507,HBG103507,HBG103507,HBG103507 Ladies Straw Handbag,/h/b/hbg103507.jpg,,/h/b/hbg103507.jpg,,/h/b/hbg103507.jpg,,/h/b/hbg103507.jpg,,"1/24/23, 5:53 PM","3/9/25, 7:54 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",72,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103507.jpg,,,,,,,,,,,,,,
HBG103513,,Default,configurable,"Default Category/Bags/Handbags,Default Category/Bags/Natural  Handbags,Default Category/HOT DEALS",base,HBG103513,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Ladies Shiny Natural Shoulder Bag</p>,1,1,0,"Catalog, Search",,,,,hbg103513,HBG103513,HBG103513,HBG103513 Ladies Shiny Natural Shoulder Bag,/h/b/hbg103513g.jpg,,/h/b/hbg103513g.jpg,,/h/b/hbg103513g.jpg,,,,"1/30/23, 1:46 PM","3/9/25, 7:54 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103513g.jpg,,,,,,,,,,,,,"sku=HBG103513G,color=Gold|sku=HBG103513S,color=Silver",color=Color
HBG103941,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103941,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ","<p>Faux Leather Cross Body bag</p>
<p>Measurements: L 8.5"" x H 7"" x W 2.5""</p>
<p>Handle Drop: 22""</p>",1,1,0,"Catalog, Search",,,,,hbg103941,HBG103941,HBG103941,HBG103941 Faux Leather Cross Body Bag,/h/b/hbg103941pn.jpg,,/h/b/hbg103941pn.jpg,,/h/b/hbg103941pn.jpg,,,,"3/29/22, 8:17 PM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103941pn.jpg,,,,,,,,,,,,,"sku=HBG103941B,color=Black|sku=HBG103941BEI,color=Beige|sku=HBG103941MIN,color=Mint|sku=HBG103941MU,color=Mustard|sku=HBG103941PN,color=Pink|sku=HBG103941PU,color=Purple|sku=HBG103941YL,color=Yellow",color=Color
HBG103947,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103947,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",,1,1,0,"Catalog, Search",,,,,hbg103947,HBG103947,HBG103947,HBG103947 ,/h/b/hbg103947_b.jpg,,/h/b/hbg103947_b.jpg,,/h/b/hbg103947_b.jpg,,,,"4/5/22, 12:12 PM","4/26/25, 10:52 AM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103947_b.jpg,,,,,,,,,,,,,"sku=HBG103947B,color=Black|sku=HBG103947BL,color=Blue|sku=HBG103947CA,color=Camel|sku=HBG103947MIN,color=Mint|sku=HBG103947PN,color=Pink|sku=HBG103947W,color=White",color=Color
HBG103950,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103950,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Faux Leather Ladies Shoulder Bag</p>,1,1,0,"Catalog, Search",,,,,hbg103950,HBG103950,HBG103950,HBG103950 Faux Leather Shoulder Bag,/h/b/hbg103950_mu.jpg,,/h/b/hbg103950_mu.jpg,,/h/b/hbg103950_mu.jpg,,,,"4/5/22, 12:30 PM","3/9/25, 7:53 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103950_mu.jpg,,,,,,,,,,,,,"sku=HBG103950B,color=Black|sku=HBG103950LM,color=Lime|sku=HBG103950MU,color=Mustard|sku=HBG103950PN,color=Pink|sku=HBG103950W,color=White",color=Color
HBG103951,,Default,configurable,"Default Category/Bags/Handbags,Default Category/HOT DEALS",base,HBG103951,"California Proposition 65 warning, ""WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm"". ",<p>Faux Leather Ladies Shoulder Bag</p>,1,1,0,"Catalog, Search",,,,,hbg103951,HBG103951,HBG103951,HBG103951 Faux Leather Ladies Shoulder Bag,/h/b/hbg103951_mu.jpg,,/h/b/hbg103951_mu.jpg,,/h/b/hbg103951_mu.jpg,,,,"4/5/22, 12:41 PM","3/16/25, 3:32 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"sale=No,size=M",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/h/b/hbg103951_mu.jpg,,,,,,,,,,,,,"sku=HBG103951MU,color=Mustard|sku=HBG103951PN,color=Pink",color=Color
